Aa	Area	SD	%	SD%	Size	Regolith
Ser	1607.4115	441.79468	38.8226	1.829666667	<0.045	MGS-1
Tyr	496.72413	154.4690667	12.0582	1.191266667	<0.045	MGS-1
Phe	768.37565	170.90256	18.85686667	1.236422222	<0.045	MGS-1
Leu	1197.457867	443.5778956	28.33653333	1.835755556	<0.045	MGS-1
Ser	2376.75692	1512.643827	49.8666	0.819733333	0.125-0.250	MGS-1
Tyr	770.6807467	520.5068622	15.7109	0.380333333	0.125-0.250	MGS-1
Phe	578.5127333	371.9007711	12.0453	1.495933333	0.125-0.250	MGS-1
Leu	998.7161667	662.4120422	20.56983333	1.111088889	0.125-0.250	MGS-1
Ser	2276.05965	647.15614	47.05523333	10.07075556	>0.500	MGS-1
Tyr	312.93977	154.5441	6.892133333	3.321977778	>0.500	MGS-1
Phe	547.7860133	58.97534222	11.59506667	0.624555556	>0.500	MGS-1
Leu	1499.069883	415.4772156	32.35486667	10.33188889	>0.500	MGS-1
Ser	1393.063413	570.6325689	34.70396667	5.547311111	<0.045	MGS-1
Tyr	445.49699	136.5484067	11.82056667	0.491311111	<0.045	MMS-2
Phe	498.0423033	151.9149911	13.48186667	1.276155556	<0.045	MMS-2
Leu	1386.185607	421.7662356	37.74016667	4.352355556	<0.045	MMS-2
Ser	1751.173137	615.2983156	37.68443333	3.644288889	0.125-0.250	MMS-2
Tyr	817.3837567	535.8121156	15.1858	2.896866667	0.125-0.250	MMS-2
Phe	746.9890767	478.9426689	13.9006	2.884733333	0.125-0.250	MMS-2
Leu	1461.142557	588.0057089	30.76923333	2.054644444	0.125-0.250	MMS-2
Ser	3258.162967	1157.774169	49.46463333	9.439977778	>0.500	MMS-2
Tyr	573.5003833	320.9903044	8.430066667	3.779488889	>0.500	MMS-2
Phe	493.8718467	237.0792778	6.993633333	2.312955556	>0.500	MMS-2
Leu	1926.091637	462.1156689	32.4674	9.572666667	>0.500	MMS-2
