Aa	Area	SD	Perc	SD2	Size	Regolith
Ser	1458.786417	159.0285356	40.62606667	2.966511111	<0.045	MGS-1
Tyr	480.3462633	38.57113556	13.48486667	1.558511111	<0.045	MGS-1
Phe	582.5345367	132.2500089	16.40833333	4.139577778	<0.045	MGS-1
Leu	1008.60032	208.1822333	28.0723	5.2696	<0.045	MGS-1
Ser	1424.613243	275.3544378	48.13383333	3.987177778	0.125-0.250	MGS-1
Tyr	460.5487367	9.737002222	15.86456667	1.248177778	0.125-0.250	MGS-1
Phe	304.3475867	44.31757778	10.37823333	1.033844444	0.125-0.250	MGS-1
Leu	706.0307833	7.993582222	24.4105	2.648333333	0.125-0.250	MGS-1
Ser	739.0105067	334.3114356	30.0642	11.83386667	>0.500	MGS-1
Tyr	225.4363367	106.3512644	9.4906	4.6334	>0.500	MGS-1
Phe	283.8035467	135.5628156	11.7223	5.4958	>0.500	MGS-1
Leu	1144.08881	115.04366	47.01176667	1.959844444	>0.500	MGS-1
Ser	1373.49044	211.8620333	35.40396667	4.147044444	<0.045	MGS-1
Tyr	554.56775	28.03352667	14.50383333	1.538422222	<0.045	MMS-2
Phe	607.4237467	30.99423556	15.86036667	1.523711111	<0.045	MMS-2
Leu	1257.131957	118.3322778	32.64993333	2.528888889	<0.045	MMS-2
Ser	1295.31893	68.93250667	38.09873333	1.126977778	0.125-0.250	MMS-2
Tyr	431.0523467	51.30278889	12.7721	1.8964	0.125-0.250	MMS-2
Phe	411.7680733	11.49163111	12.14903333	0.711222222	0.125-0.250	MMS-2
Leu	1202.733317	143.6282289	35.24053333	2.369777778	0.125-0.250	MMS-2
Ser	703.2639467	243.4078378	28.66823333	9.888488889	>0.500	MMS-2
Tyr	364.36254	110.3624333	14.45623333	3.329244444	>0.500	MMS-2
Phe	387.6059567	76.84820889	15.7075	3.2452	>0.500	MMS-2
Leu	983.7498333	176.1739378	39.76873333	7.529111111	>0.500	MMS-2
