Peak	Intensity	UV	Substrate	cma	Aminoacid
1160	217.9500733	72h	Olivine	262.9662182	His
1160	147.4803816	72h	Olivine	78.15439538	His
1160	126.0485666	72h	Olivine	71.43854001	His
1160	204.4011754	72h	Olivine	89.98365645	His
1160	45.71749	72h	Olivine	43.81579404	His
1160	25.47765243	72h	Olivine	40.39875277	His
1160	58.18366357	72h	Olivine	21.08638332	His
1160	202.3192139	72h	Olivine	95.66571381	His
1160	111.9596994	72h	Olivine	60.73345988	His
1160	65.81570871	72h	Olivine	37.70412004	His
1160	244.98584	0h	Olivine	150.8426121	His
1160	986.184875	0h	Olivine	600.2976225	His
1160	258.591278	0h	Olivine	180.9305547	His
1160	301.336243	0h	Olivine	227.5233975	His
1160	987.399597	0h	Olivine	627.702208	His
1160	234.072449	0h	Olivine	196.1320088	His
1160	443.7836	0h	Olivine	325.5450619	His
1160	205.077911	0h	Olivine	71.19815955	His
1160	900.303467	0h	Olivine	617.4249614	His
1160	112.269135	0h	Olivine	76.04316291	His
1160	45.683088	72h	MGS-1	-7.978193805	His
1160	86.61562671	72h	MGS-1	42.43066614	His
1160	200.1616734	72h	MGS-1	142.6632017	His
1160	149.7807269	72h	MGS-1	51.07692832	His
1160	71.80850214	72h	MGS-1	45.66745052	His
1160	187.4882464	72h	MGS-1	154.4931617	His
1160	-37.09054571	72h	MGS-1	38.30981013	His
1160	69.73766657	72h	MGS-1	62.05345392	His
1160	49.18449614	72h	MGS-1	42.52383439	His
1160	84.80252514	72h	MGS-1	52.43211712	His
1160	211.035736	0h	MGS-1	152.9296482	His
1160	1363.760376	0h	MGS-1	936.1264871	His
1160	166.234528	0h	MGS-1	83.62371391	His
1160	235.66156	0h	MGS-1	95.75729155	His
1160	72.080383	0h	MGS-1	-89.92013282	His
1160	468.86142	0h	MGS-1	322.8428986	His
1160	183.870361	0h	MGS-1	141.3377947	His
1160	381.552216	0h	MGS-1	158.4881633	His
1160	172.153168	0h	MGS-1	97.33619009	His
1160	796.176147	0h	MGS-1	624.413441	His
1160	-8.343173429	72h	MMS-2	0.613455201	His
1160	13.37373243	72h	MMS-2	3.524476831	His
1160	69.04371864	72h	MMS-2	22.70871988	His
1160	131.705828	72h	MMS-2	28.87228765	His
1160	88.22804479	72h	MMS-2	60.26804014	His
1160	65.6625715	72h	MMS-2	13.49009853	His
1160	-3.849176929	72h	MMS-2	25.85461688	His
1160	-39.55661014	72h	MMS-2	4.970821338	His
