,Peak,Intensity,UV,Substrate,cma,Aminoacid
523,1160.832031,217.9500733,72h,Olivine,262.9662182,His
1538,1160.832031,147.4803816,72h,Olivine,78.15439538,His
2553,1160.832031,126.0485666,72h,Olivine,71.43854001,His
3568,1160.832031,204.4011754,72h,Olivine,89.98365645,His
4583,1160.832031,45.71749,72h,Olivine,43.81579404,His
5598,1160.832031,25.47765243,72h,Olivine,40.39875277,His
6613,1160.832031,58.18366357,72h,Olivine,21.08638332,His
7628,1160.832031,202.3192139,72h,Olivine,95.66571381,His
8643,1160.832031,111.9596994,72h,Olivine,60.73345988,His
9658,1160.832031,65.81570871,72h,Olivine,37.70412004,His
10673,1160.832031,244.98584,0h,Olivine,150.8426121,His
11688,1160.832031,986.184875,0h,Olivine,600.2976225,His
12703,1160.832031,258.591278,0h,Olivine,180.9305547,His
13718,1160.832031,301.336243,0h,Olivine,227.5233975,His
14733,1160.832031,987.399597,0h,Olivine,627.702208,His
15748,1160.832031,234.072449,0h,Olivine,196.1320088,His
16763,1160.832031,443.7836,0h,Olivine,325.5450619,His
17778,1160.832031,205.077911,0h,Olivine,71.19815955,His
18793,1160.832031,900.303467,0h,Olivine,617.4249614,His
19808,1160.832031,112.269135,0h,Olivine,76.04316291,His
20823,1160.832031,45.683088,72h,MGS-1,-7.978193805,His
21838,1160.832031,86.61562671,72h,MGS-1,42.43066614,His
22853,1160.832031,200.1616734,72h,MGS-1,142.6632017,His
23868,1160.832031,149.7807269,72h,MGS-1,51.07692832,His
24883,1160.832031,71.80850214,72h,MGS-1,45.66745052,His
25898,1160.832031,187.4882464,72h,MGS-1,154.4931617,His
26913,1160.832031,-37.09054571,72h,MGS-1,38.30981013,His
27928,1160.832031,69.73766657,72h,MGS-1,62.05345392,His
28943,1160.832031,49.18449614,72h,MGS-1,42.52383439,His
29958,1160.832031,84.80252514,72h,MGS-1,52.43211712,His
30973,1160.832031,211.035736,0h,MGS-1,152.9296482,His
31988,1160.832031,1363.760376,0h,MGS-1,936.1264871,His
33003,1160.832031,166.234528,0h,MGS-1,83.62371391,His
34018,1160.832031,235.66156,0h,MGS-1,95.75729155,His
35033,1160.832031,72.080383,0h,MGS-1,-89.92013282,His
36048,1160.832031,468.86142,0h,MGS-1,322.8428986,His
37063,1160.832031,183.870361,0h,MGS-1,141.3377947,His
38078,1160.832031,381.552216,0h,MGS-1,158.4881633,His
39093,1160.832031,172.153168,0h,MGS-1,97.33619009,His
40108,1160.832031,796.176147,0h,MGS-1,624.413441,His
41123,1160.832031,-8.343173429,72h,MMS-2,0.613455201,His
42138,1160.832031,13.37373243,72h,MMS-2,3.524476831,His
43153,1160.832031,69.04371864,72h,MMS-2,22.70871988,His
44168,1160.832031,131.705828,72h,MMS-2,28.87228765,His
45183,1160.832031,88.22804479,72h,MMS-2,60.26804014,His
46198,1160.832031,65.6625715,72h,MMS-2,13.49009853,His
47213,1160.832031,-3.849176929,72h,MMS-2,25.85461688,His
48228,1160.832031,-39.55661014,72h,MMS-2,4.970821338,His
49243,1160.832031,20.32654464,72h,MMS-2,28.75578753,His
50258,1160.832031,-39.39499771,72h,MMS-2,-17.97454509,His
51273,1160.832031,154.297134,0h,MMS-2,65.22365918,His
52288,1160.832031,45.164551,0h,MMS-2,-40.05348955,His
53303,1160.832031,68.205093,0h,MMS-2,123.458448,His
54318,1160.832031,-127.468834,0h,MMS-2,-9.065773909,His
55333,1160.832031,69.189087,0h,MMS-2,23.171194,His
56348,1160.832031,106.880135,0h,MMS-2,-80.56623491,His
57363,1160.832031,96.74337,0h,MMS-2,21.85080764,His
58378,1160.832031,-9.080711,0h,MMS-2,63.11721,His
59393,1160.832031,380.035217,0h,MMS-2,139.9498784,His
60408,1160.832031,215.317505,0h,MMS-2,159.5146929,His
61423,1160.832031,-112.5969571,72h,PRT,92.43025716,His
62438,1160.832031,43.45885917,72h,PRT,-4.618920795,His
63453,1160.832031,100.6153233,72h,PRT,61.32451371,His
64468,1160.832031,35.43782542,72h,PRT,-11.23582314,His
65483,1160.832031,140.8325704,72h,PRT,88.21113875,His
66498,1160.832031,210.8324813,72h,PRT,41.5220253,His
67513,1160.832031,-6.647630833,72h,PRT,97.33438189,His
68528,1160.832031,170.9452313,72h,PRT,71.93322818,His
69543,1160.832031,20.41129417,72h,PRT,37.9384214,His
70558,1160.832031,108.8102213,72h,PRT,19.08254159,His
71573,1160.832031,92.993568,0h,PRT,-1.941755091,His
72588,1160.832031,495.945343,0h,PRT,257.8970005,His
73603,1160.832031,551.335876,0h,PRT,126.3629559,His
74618,1160.832031,15.22021,0h,PRT,23.13058245,His
75633,1160.832031,89.700493,0h,PRT,80.48722618,His
76648,1160.832031,158.296387,0h,PRT,97.36084255,His
77663,1160.832031,15.729219,0h,PRT,21.16850036,His
78678,1160.832031,69.723015,0h,PRT,46.75282264,His
79693,1160.832031,216.83696,0h,PRT,28.73386218,His
80708,1160.832031,337.254028,0h,PRT,162.607674,His
