,Peak,Intensity,UV,Substrate,cma,Aminoacid
345,1459.548828,230.3776727,72h,Olivine,298.849669,Leu
1360,1459.548828,113.5248656,72h,Olivine,157.1847404,Leu
2375,1459.548828,491.6198727,72h,Olivine,345.2038167,Leu
3390,1459.548828,75.7715,72h,Olivine,115.6929989,Leu
4405,1459.548828,211.8396513,72h,Olivine,236.464403,Leu
5420,1459.548828,220.3959877,72h,Olivine,203.3199212,Leu
6435,1459.548828,551.8905838,72h,Olivine,328.6873893,Leu
7450,1459.548828,231.7600994,72h,Olivine,160.809404,Leu
8465,1459.548828,77.63109091,72h,Olivine,220.6569951,Leu
9480,1459.548828,224.1765208,72h,Olivine,170.0215364,Leu
10495,1459.548828,289.524109,0h,Olivine,256.4120681,Leu
11510,1459.548828,160.485519,0h,Olivine,355.5625117,Leu
12525,1459.548828,138.000931,0h,Olivine,175.5840491,Leu
13540,1459.548828,191.96405,0h,Olivine,313.8983892,Leu
14555,1459.548828,-19.216925,0h,Olivine,255.7338764,Leu
15570,1459.548828,388.242584,0h,Olivine,290.9089745,Leu
16585,1459.548828,169.233673,0h,Olivine,174.6049224,Leu
17600,1459.548828,674.173523,0h,Olivine,812.269201,Leu
18615,1459.548828,288.474396,0h,Olivine,408.1996311,Leu
19630,1459.548828,479.635712,0h,Olivine,683.2661189,Leu
20645,1459.548828,381.2508718,72h,MGS-1,193.0808988,Leu
21660,1459.548828,234.1480582,72h,MGS-1,280.3926483,Leu
22675,1459.548828,125.6534032,72h,MGS-1,103.616611,Leu
23690,1459.548828,92.44397857,72h,MGS-1,105.8704431,Leu
24705,1459.548828,251.6094536,72h,MGS-1,186.7005972,Leu
25720,1459.548828,142.6485118,72h,MGS-1,160.3096266,Leu
26735,1459.548828,27.2027125,72h,MGS-1,142.2101965,Leu
27750,1459.548828,382.8879657,72h,MGS-1,347.3809418,Leu
28765,1459.548828,458.0549404,72h,MGS-1,298.4025718,Leu
29780,1459.548828,121.642445,72h,MGS-1,142.186858,Leu
30795,1459.548828,410.873535,0h,MGS-1,487.9039055,Leu
31810,1459.548828,242.267181,0h,MGS-1,275.6230655,Leu
32825,1459.548828,123.037704,0h,MGS-1,135.09182,Leu
33840,1459.548828,259.663086,0h,MGS-1,145.4185145,Leu
34855,1459.548828,168.528702,0h,MGS-1,312.424344,Leu
35870,1459.548828,118.2743,0h,MGS-1,206.3326935,Leu
36885,1459.548828,351.36969,0h,MGS-1,511.8087449,Leu
37900,1459.548828,530.898132,0h,MGS-1,498.7754211,Leu
38915,1459.548828,413.484344,0h,MGS-1,466.5934892,Leu
39930,1459.548828,369.553101,0h,MGS-1,235.353383,Leu
40945,1459.548828,96.117869,72h,MMS-2,65.69925344,Leu
41960,1459.548828,86.975647,72h,MMS-2,43.25215702,Leu
42975,1459.548828,188.9347942,72h,MMS-2,89.75525505,Leu
43990,1459.548828,116.7521158,72h,MMS-2,77.12473635,Leu
45005,1459.548828,149.7550353,72h,MMS-2,108.8978787,Leu
46020,1459.548828,137.129425,72h,MMS-2,88.41119124,Leu
47035,1459.548828,98.05957033,72h,MMS-2,42.56565735,Leu
48050,1459.548828,-16.025149,72h,MMS-2,30.68760336,Leu
49065,1459.548828,92.379069,72h,MMS-2,91.63212739,Leu
50080,1459.548828,98.45186367,72h,MMS-2,58.57006273,Leu
51095,1459.548828,215.472733,0h,MMS-2,126.4419965,Leu
52110,1459.548828,51.633869,0h,MMS-2,139.9709811,Leu
53125,1459.548828,89.28949,0h,MMS-2,86.33647027,Leu
54140,1459.548828,201.865799,0h,MMS-2,29.48791582,Leu
55155,1459.548828,29.270205,0h,MMS-2,17.58461209,Leu
56170,1459.548828,216.320648,0h,MMS-2,142.7344329,Leu
57185,1459.548828,29.105274,0h,MMS-2,9.496715273,Leu
58200,1459.548828,235.40773,0h,MMS-2,175.6650959,Leu
59215,1459.548828,110.480438,0h,MMS-2,196.0569851,Leu
60230,1459.548828,52.805569,0h,MMS-2,63.54081027,Leu
61245,1459.548828,691.4733888,72h,PRT,349.1427315,Leu
62260,1459.548828,4762.739258,72h,PRT,3967.117518,Leu
63275,1459.548828,546.33461,72h,PRT,546.6137054,Leu
64290,1459.548828,614.9513244,72h,PRT,460.4991462,Leu
65305,1459.548828,556.998215,72h,PRT,293.3349831,Leu
66320,1459.548828,566.5983963,72h,PRT,504.3628374,Leu
67335,1459.548828,814.8380281,72h,PRT,832.5294009,Leu
68350,1459.548828,547.6635744,72h,PRT,475.5372593,Leu
69365,1459.548828,1339.492188,72h,PRT,984.8391099,Leu
70380,1459.548828,312.9018975,72h,PRT,324.8740075,Leu
71395,1459.548828,434.199677,0h,PRT,472.3444028,Leu
72410,1459.548828,612.598267,0h,PRT,661.7624509,Leu
73425,1459.548828,55.960358,0h,PRT,148.4554935,Leu
74440,1459.548828,1854.821777,0h,PRT,1510.035991,Leu
75455,1459.548828,504.673401,0h,PRT,136.7600694,Leu
76470,1459.548828,507.874847,0h,PRT,365.0935225,Leu
77485,1459.548828,1012.967346,0h,PRT,522.8040911,Leu
78500,1459.548828,1991.776733,0h,PRT,1622.269612,Leu
79515,1459.548828,853.6745,0h,PRT,543.0901628,Leu
80530,1459.548828,521.927368,0h,PRT,636.9712691,Leu
