,Rep,Peak,Intensity,UV,Substrate,cma,
614,0,1003.095947,22.4762192,72h,Olivine,9.800990527,Phe
1629,5,1003.095947,21.445723,72h,Olivine,9.495038945,Phe
2644,10,1003.095947,22.8657166,72h,Olivine,11.09532036,Phe
3659,16,1003.095947,21.4137772,72h,Olivine,10.56095579,Phe
4674,0,1003.095947,5.1841297,72h,Olivine,46.57508303,Phe
5689,5,1003.095947,20.8064957,72h,Olivine,23.36873135,Phe
6704,10,1003.095947,28.0733032,72h,Olivine,21.27662694,Phe
7719,16,1003.095947,34.8458618,72h,Olivine,21.092978,Phe
8734,0,1003.095947,26.2015442,72h,Olivine,11.30537392,Phe
9749,5,1003.095947,4.710577,72h,Olivine,5.272591145,Phe
10764,11,1003.095947,0.0302106,72h,Olivine,3.602534918,Phe
11779,16,1003.095947,-2.8009567,72h,Olivine,2.804915645,Phe
12794,0,1003.095947,25.9409882,72h,Olivine,11.58524537,Phe
13809,5,1003.095947,12.9571564,72h,Olivine,14.92748217,Phe
14824,11,1003.095947,8.436924,72h,Olivine,14.88231544,Phe
15839,16,1003.095947,9.8269295,72h,Olivine,19.17884887,Phe
16854,0,1003.095947,-9.0192604,72h,Olivine,-1.374004527,Phe
17869,5,1003.095947,6.5795258,72h,Olivine,6.960563709,Phe
18884,10,1003.095947,11.3944008,72h,Olivine,9.720958991,Phe
19899,16,1003.095947,10.6694969,72h,Olivine,8.8101684,Phe
20914,0,1003.095947,6.8245918,72h,Olivine,19.32520163,Phe
21929,5,1003.095947,22.875145,72h,Olivine,12.86727324,Phe
22944,10,1003.095947,27.2550079,72h,Olivine,11.56812149,Phe
23959,16,1003.095947,28.7814453,72h,Olivine,10.70887924,Phe
24974,0,1003.095947,17.082869,72h,Olivine,42.19872479,Phe
25989,5,1003.095947,33.9895111,72h,Olivine,30.05877724,Phe
27004,10,1003.095947,42.5526917,72h,Olivine,29.47308971,Phe
28019,16,1003.095947,47.9665985,72h,Olivine,29.27995571,Phe
29034,0,1003.095947,25.9403931,72h,Olivine,18.09596901,Phe
30049,5,1003.095947,18.8260239,72h,Olivine,20.21815373,Phe
31064,10,1003.095947,16.0950272,72h,Olivine,19.03592735,Phe
32079,16,1003.095947,14.4251465,72h,Olivine,18.14884035,Phe
33094,0,1003.095947,34.6782745,72h,Olivine,39.4318754,Phe
34109,5,1003.095947,33.3909119,72h,Olivine,18.37816024,Phe
35124,10,1003.095947,41.517923,72h,Olivine,20.08733585,Phe
36139,16,1003.095947,44.8965088,72h,Olivine,21.51433047,Phe
37154,0,1003.095947,14.6271667,72h,Olivine,8.1367769,Phe
38169,5,1003.095947,32.991037,72h,Olivine,8.710701155,Phe
39184,10,1003.095947,41.8904541,72h,Olivine,10.24989444,Phe
40199,16,1003.095947,44.8078003,72h,Olivine,11.38577904,Phe
41214,0,1003.095947,351.208282,0h,Olivine,240.1482489,Phe
42229,5,1003.095947,304.405975,0h,Olivine,224.3418405,Phe
43244,10,1003.095947,295.80368,0h,Olivine,229.1042049,Phe
44259,16,1003.095947,269.785309,0h,Olivine,209.5059703,Phe
45274,0,1003.095947,412.3797,0h,Olivine,219.1491215,Phe
46289,5,1003.095947,263.877167,0h,Olivine,140.2311811,Phe
47304,10,1003.095947,215.799896,0h,Olivine,114.6816518,Phe
48319,16,1003.095947,182.892365,0h,Olivine,97.19371691,Phe
49334,0,1003.095947,1999.348877,0h,Olivine,969.2494431,Phe
50349,5,1003.095947,1438.446899,0h,Olivine,697.3340127,Phe
51364,10,1003.095947,1216.75061,0h,Olivine,589.8594547,Phe
52379,16,1003.095947,1083.520874,0h,Olivine,525.2718945,Phe
53394,0,1003.095947,637.325684,0h,Olivine,329.7120697,Phe
54409,5,1003.095947,447.863678,0h,Olivine,231.6962049,Phe
55424,11,1003.095947,370.255127,0h,Olivine,191.5463405,Phe
56439,16,1003.095947,323.352997,0h,Olivine,167.2822315,Phe
57454,0,1003.095947,752.833374,0h,Olivine,331.0621645,Phe
58469,5,1003.095947,502.46167,0h,Olivine,220.9598492,Phe
59484,10,1003.095947,414.221832,0h,Olivine,182.1559767,Phe
60499,16,1003.095947,364.139648,0h,Olivine,160.132164,Phe
61514,0,1003.095947,521.333862,0h,Olivine,262.89189,Phe
62529,5,1003.095947,359.500946,0h,Olivine,181.2846468,Phe
63544,10,1003.095947,303.804565,0h,Olivine,153.1988558,Phe
64559,16,1003.095947,277.842285,0h,Olivine,140.1069293,Phe
65574,0,1003.095947,463.754974,0h,Olivine,240.2311928,Phe
66589,5,1003.095947,364.951874,0h,Olivine,232.0654925,Phe
