,Rep,Peak,Intensity,UV,Substrate,cma,Aminoacid
712,0,829.726807,33.82718917,72h,Olivine,27.58283052,Tyr
1727,5,829.726807,16.902668,72h,Olivine,18.02566081,Tyr
2742,10,829.726807,12.99750267,72h,Olivine,16.48033918,Tyr
3757,16,829.726807,13.75147625,72h,Olivine,18.54362998,Tyr
4772,0,829.726807,37.73035683,72h,Olivine,44.30257877,Tyr
5787,5,829.726807,74.32447308,72h,Olivine,48.30842151,Tyr
6802,10,829.726807,66.86253867,72h,Olivine,40.1640432,Tyr
7817,16,829.726807,70.16128542,72h,Olivine,38.38615281,Tyr
8832,0,829.726807,70.84356183,72h,Olivine,26.47767569,Tyr
9847,5,829.726807,51.82714333,72h,Olivine,29.79141629,Tyr
10862,10,829.726807,44.2637075,72h,Olivine,27.98528023,Tyr
11877,16,829.726807,39.029391,72h,Olivine,26.08533153,Tyr
12892,0,829.726807,0.735327917,72h,Olivine,18.31135332,Tyr
13907,5,829.726807,7.910252917,72h,Olivine,15.60260718,Tyr
14922,10,829.726807,10.76319375,72h,Olivine,15.07598227,Tyr
15937,16,829.726807,14.04990642,72h,Olivine,16.91126189,Tyr
16952,0,829.726807,59.03896583,72h,Olivine,54.12251015,Tyr
17967,5,829.726807,68.68041483,72h,Olivine,48.81451775,Tyr
18982,10,829.726807,63.208018,72h,Olivine,43.13443074,Tyr
19997,16,829.726807,60.39514667,72h,Olivine,40.1530593,Tyr
21012,0,829.726807,6.300730417,72h,Olivine,11.96531611,Tyr
22027,5,829.726807,14.64460117,72h,Olivine,12.48608955,Tyr
23042,11,829.726807,22.89101158,72h,Olivine,18.84963294,Tyr
24057,16,829.726807,26.0386785,72h,Olivine,19.87785953,Tyr
25072,0,829.726807,43.84005733,72h,Olivine,35.50154008,Tyr
26087,5,829.726807,35.11693825,72h,Olivine,29.92057392,Tyr
27102,11,829.726807,30.34453325,72h,Olivine,26.17987547,Tyr
28117,16,829.726807,29.44838967,72h,Olivine,26.09615102,Tyr
29132,0,829.726807,329.6062012,72h,Olivine,177.6109698,Tyr
30147,5,829.726807,294.517395,72h,Olivine,170.7264767,Tyr
31162,11,829.726807,265.6661173,72h,Olivine,157.0184414,Tyr
32177,16,829.726807,235.0939942,72h,Olivine,139.2314435,Tyr
33192,0,829.726807,57.28130592,72h,Olivine,69.36519067,Tyr
34207,5,829.726807,42.03412883,72h,Olivine,45.34796855,Tyr
35222,10,829.726807,36.24555458,72h,Olivine,38.52176249,Tyr
36237,16,829.726807,33.92890167,72h,Olivine,34.8966528,Tyr
37252,0,829.726807,54.99670408,72h,Olivine,40.8062272,Tyr
38267,5,829.726807,42.97325133,72h,Olivine,32.73854889,Tyr
39282,10,829.726807,33.51444242,72h,Olivine,25.06351916,Tyr
40297,16,829.726807,30.78699492,72h,Olivine,23.45917623,Tyr
