Aa	Ratio	SD	Condition
Asp	0.917860053	0.102249001	0.5-2
His	0.960604323	0.010003987	0.5-2
Ser	0.988415975	0.158371958	0.5-2
Glu	0.931027182	0.010790786	0.5-2
Arg	0.951408681	0.023035581	0.5-2
Thr	0.927555016	0.060860996	0.5-2
Ala	0.965997512	0.054888109	0.5-2
Tyr	0.929306857	0.028238799	0.5-2
Met	0.908319202	0.050685771	0.5-2
Val	0.911376855	0.051108306	0.5-2
Phe	0.880052796	0.058482689	0.5-2
Leu	0.830470699	0.055417445	0.5-2
Asp	0.939145158	0.104620148	0.25-0.5
His	0.94283077	0.009818889	0.25-0.5
Ser	0.920912076	0.14755594	0.25-0.5
Glu	0.962420349	0.011154639	0.25-0.5
Arg	0.926922498	0.02244272	0.25-0.5
Thr	0.904145131	0.05932497	0.25-0.5
Ala	0.915657036	0.052027756	0.25-0.5
Tyr	0.882736197	0.026823659	0.25-0.5
Met	1.106632226	0.06216116	0.25-0.5
Val	0.93184802	0.05225629	0.25-0.5
Phe	0.909360201	0.060430272	0.25-0.5
Leu	0.939063186	0.06266384	0.25-0.5
Asp	0.903603319	0.10066081	0.15-0.25
His	0.775918987	0.008080625	0.15-0.25
Ser	0.774305284	0.12406542	0.15-0.25
Glu	0.86268574	0.009998695	0.15-0.25
Arg	0.771192415	0.018672171	0.15-0.25
Thr	0.729411441	0.047859918	0.15-0.25
Ala	0.800057903	0.045459398	0.15-0.25
Tyr	0.717046308	0.021788849	0.15-0.25
Met	0.791084459	0.044143871	0.15-0.25
Val	0.74558327	0.041810912	0.15-0.25
Phe	0.762339476	0.050660213	0.15-0.25
Leu	0.941955551	0.062856848	0.15-0.25
Asp	0.916973846	0.102150278	0.045-0.15
His	0.857933903	0.00893475	0.045-0.15
Ser	0.771463405	0.123610072	0.045-0.15
Glu	0.910219346	0.010549619	0.045-0.15
Arg	0.833573856	0.020182555	0.045-0.15
Thr	0.79079994	0.051887889	0.045-0.15
Ala	0.787960075	0.044771998	0.045-0.15
Tyr	0.769123831	0.023371326	0.045-0.15
Met	1.043683658	0.05823934	0.045-0.15
Val	0.805336538	0.045161763	0.045-0.15
Phe	0.802038078	0.053298329	0.045-0.15
Leu	0.970354036	0.064751883	0.045-0.15
Asp	0.928849921	0.103473265	<0.045
His	0.967771464	0.010078628	<0.045
Ser	0.956647054	0.153281686	<0.045
Glu	1.021319929	0.011837296	<0.045
Arg	1.042278144	0.025235719	<0.045
Thr	0.913695265	0.059951596	<0.045
Ala	0.865725034	0.049190613	<0.045
Tyr	0.65109667	0.019784841	<0.045
Met	0.534715713	0.029838055	<0.045
Val	0.872859196	0.048948307	<0.045
Phe	0.855652558	0.056861205	<0.045
Leu	0.866233699	0.057803916	<0.045
