Aa	Ratio	SD	Condition
Asp	0.801481958	0.089284559	0.5-2
His	0.761974172	0.0079354	0.5-2
Ser	0.810470706	0.129860135	0.5-2
Glu	0.820222547	0.009506538	0.5-2
Arg	0.796898185	0.019294561	0.5-2
Thr	0.610687023	-0.151960706	0.5-2
Ala	0.848732432	0.048225091	0.5-2
Tyr	0.725935083	0.022058952	0.5-2
Met	0.481416857	0.026863887	0.5-2
Val	0.872703304	0.048939565	0.5-2
Phe	0.803746658	0.05341187	0.5-2
Leu	0.963783887	0.064313456	0.5-2
Asp	0.859255893	0.095720537	0.25-0.5
His	0.766131832	0.007978699	0.25-0.5
Ser	0.860819939	0.137927494	0.25-0.5
Glu	0.89169289	0.010334894	0.25-0.5
Arg	0.822509779	0.019914671	0.25-0.5
Thr	0.808834217	0.053071198	0.25-0.5
Ala	0.819060939	0.046539153	0.25-0.5
Tyr	0.719572101	0.0218656	0.25-0.5
Met	0.584111285	0.032594413	0.25-0.5
Val	0.859513443	0.048199903	0.25-0.5
Phe	0.827718793	0.055004905	0.25-0.5
Leu	0.986264652	0.065813601	0.25-0.5
Asp	0.768002117	0.085554927	0.15-0.25
His	0.668808585	0.006965149	0.15-0.25
Ser	0.728218296	0.116680993	0.15-0.25
Glu	0.811235651	0.009402379	0.15-0.25
Arg	0.748111184	0.018113326	0.15-0.25
Thr	0.733382776	0.048120495	0.15-0.25
Ala	0.781265865	0.044391632	0.15-0.25
Tyr	0.63425341	0.019273025	0.15-0.25
Met	0.614832067	0.034308685	0.15-0.25
Val	0.77990943	0.043735859	0.15-0.25
Phe	0.742249218	0.049325143	0.15-0.25
Leu	0.941411659	0.062820554	0.15-0.25
Asp	0.839885307	0.093562666	0.045-0.15
His	0.802946751	0.008362099	0.045-0.15
Ser	0.826614529	0.132446829	0.045-0.15
Glu	0.858594397	0.009951276	0.045-0.15
Arg	0.857563697	0.020763399	0.045-0.15
Thr	0.824945983	0.054128363	0.045-0.15
Ala	0.867397843	0.049285662	0.045-0.15
Tyr	0.730990762	0.022212578	0.045-0.15
Met	0.682750258	0.038098637	0.045-0.15
Val	0.846437557	0.047466631	0.045-0.15
Phe	0.812615166	0.054001214	0.045-0.15
Leu	0.929350684	0.062015723	0.045-0.15
Asp	0.789201566	0.087916531	<0.045
His	0.812227334	0.00845875	<0.045
Ser	0.887862373	0.142260451	<0.045
Glu	0.850549456	0.009858033	<0.045
Arg	0.892227493	0.021602681	<0.045
Thr	0.822306586	0.05395518	<0.045
Ala	0.824884384	0.046870042	<0.045
Tyr	0.696465523	0.021163462	<0.045
Met	0.653322799	0.036456534	<0.045
Val	0.814325149	0.045665828	<0.045
Phe	0.804694332	0.053474846	<0.045
Leu	0.826152329	0.05512928	<0.045

