Aa	Ratio	SD	Condition
Asp	0.385415197	0.014400867	0.5-2
His	0.385816419	0.022177171	0.5-2
Ser	0.384662024	0.030631674	0.5-2
Glu	0.460928838	0.007074558	0.5-2
Arg	0.434292701	0.029970529	0.5-2
Thr	0.429656392	0.019709584	0.5-2
Ala	0.394019801	0.019927371	0.5-2
Tyr	0.432812926	0.024536198	0.5-2
Met	0.260659962	0.068978262	0.5-2
Val	0.512226375	0.00671274	0.5-2
Phe	0.479109609	0.017482178	0.5-2
Leu	0.706124536	0.05200832	0.5-2
Asp	0.482987167	0.018046601	0.25-0.5
His	0.454144502	0.026104748	0.25-0.5
Ser	0.447333865	0.035622401	0.25-0.5
Glu	0.544477168	0.008356898	0.25-0.5
Arg	0.507481674	0.035021298	0.25-0.5
Thr	0.503520564	0.023097948	0.25-0.5
Ala	0.461885439	0.023359645	0.25-0.5
Tyr	0.479365468	0.027175265	0.25-0.5
Met	0.297899334	0.078832891	0.25-0.5
Val	0.592681799	0.00776711	0.25-0.5
Phe	0.548352358	0.020008769	0.25-0.5
Leu	0.772019391	0.056861686	0.25-0.5
Asp	0.57950359	0.021652894	0.15-0.25
His	0.617465466	0.035492625	0.15-0.25
Ser	0.594203419	0.047318019	0.15-0.25
Glu	0.701112016	0.010761005	0.15-0.25
Arg	0.683900337	0.047195946	0.15-0.25
Thr	0.694330025	0.031850931	0.15-0.25
Ala	0.618837487	0.031297423	0.15-0.25
Tyr	0.633013066	0.035885559	0.15-0.25
Met	0.377772901	0.099969776	0.15-0.25
Val	0.798011599	0.010457963	0.15-0.25
Phe	0.717078154	0.026165386	0.15-0.25
Leu	0.880900711	0.064881142	0.15-0.25
Asp	0.282863579	0.010569072	0.045-0.15
His	0.432377488	0.024853555	0.045-0.15
Ser	0.419706601	0.033422368	0.045-0.15
Glu	0.449358641	0.006896973	0.045-0.15
Arg	0.679539508	0.046895005	0.045-0.15
Thr	0.509017767	0.02335012	0.045-0.15
Ala	0.60232724	0.030462425	0.045-0.15
Tyr	0.469958654	0.026641992	0.045-0.15
Met	0.280382781	0.074197497	0.045-0.15
Val	0.851865544	0.01116372	0.045-0.15
Phe	0.701592924	0.025600347	0.045-0.15
Leu	0.996161175	0.073370442	0.045-0.15
Asp	0.162741847	0.006080777	<0.045
His	0.340514715	0.019573177	<0.045
Ser	0.363838807	0.028973465	<0.045
Glu	0.332362784	0.005101264	<0.045
Arg	0.73351518	0.050619865	<0.045
Thr	0.468425667	0.021488043	<0.045
Ala	0.661529423	0.033456548	<0.045
Tyr	0.383117161	0.021718941	<0.045
Met	0.191559908	0.050692363	<0.045
Val	1	0.013555195	<0.045
Phe	0.809721315	0.029545832	<0.045
Leu	1	0.095760633	<0.045




