Aa	Ratio	SD	Condition
Asp	0.397660741	0.014858417	0.5-2
His	0.336433437	0.019338581	0.5-2
Ser	0.344368236	0.027422971	0.5-2
Glu	0.461751273	0.007087181	0.5-2
Arg	0.383098136	0.026437593	0.5-2
Thr	0.383938903	0.01761239	0.5-2
Ala	0.35335295	0.017870664	0.5-2
Tyr	0.333456266	0.018903661	0.5-2
Met	0.140476348	0.037174157	0.5-2
Val	0.466461099	0.006112985	0.5-2
Phe	0.371362957	0.013550622	0.5-2
Leu	0.619918264	0.045658954	0.5-2
Asp	0.403244684	0.015067058	0.25-0.5
His	0.396398998	0.02278547	0.25-0.5
Ser	0.40147095	0.031970214	0.25-0.5
Glu	0.510794989	0.007839928	0.25-0.5
Arg	0.453870694	0.031321606	0.25-0.5
Thr	0.442524754	0.020299893	0.25-0.5
Ala	0.390735839	0.019761286	0.25-0.5
Tyr	0.391483684	0.02219324	0.25-0.5
Met	0.17453459	0.046186965	0.25-0.5
Val	0.570506395	0.007476501	0.25-0.5
Phe	0.473771375	0.017287391	0.25-0.5
Leu	0.714936143	0.052657323	0.25-0.5
Asp	0.458026123	0.017113942	0.15-0.25
His	0.48445615	0.027847097	0.15-0.25
Ser	0.484053914	0.038546518	0.15-0.25
Glu	0.604036201	0.009271039	0.15-0.25
Arg	0.6166591	0.04255563	0.15-0.25
Thr	0.567021037	0.026010899	0.15-0.25
Ala	0.53783406	0.027200712	0.15-0.25
Tyr	0.505253128	0.028642838	0.15-0.25
Met	0.370498919	0.098044867	0.15-0.25
Val	0.750898744	0.009840548	0.15-0.25
Phe	0.609037203	0.022223091	0.15-0.25
Leu	0.835480702	0.061535813	0.15-0.25
Asp	0.265077692	0.00990451	0.045-0.15
His	0.421734933	0.024241809	0.045-0.15
Ser	0.399986711	0.03185202	0.045-0.15
Glu	0.551112005	0.008458733	0.045-0.15
Arg	0.702952747	0.048510752	0.045-0.15
Thr	0.533542469	0.02447514	0.045-0.15
Ala	0.602215153	0.030456756	0.045-0.15
Tyr	0.42317984	0.023990097	0.045-0.15
Met	0.326439257	0.08638539	0.045-0.15
Val	0.891382092	0.011681586	0.045-0.15
Phe	0.695187661	0.025366626	0.045-0.15
Leu	0.888635706	0.065450849	0.045-0.15
Asp	0.162741847	0.006080777	<0.045
His	0.335676247	0.019295057	<0.045
Ser	0.340359236	0.027103723	<0.045
Glu	0.335792329	0.005153903	<0.045
Arg	0.701117468	0.0483841	<0.045
Thr	0.458432226	0.021029615	<0.045
Ala	0.606635716	0.030680324	<0.045
Tyr	0.331049765	0.018767236	<0.045
Met	0.173575897	0.045933267	<0.045
Val	0.967564804	0.012679962	<0.045
Phe	0.735935088	0.026853454	<0.045
Leu	0.91134093	0.067123161	<0.045
